 id  |                                     name                                     | contactid |          officename          
 195 | Gloucester                                                                   |           | 
 196 | Gloucester Tree                                                              |           | 
 197 | Gnangara                                                                     |           | 
 198 | Gnangara Off Road Vehicle Area                                               |           | 
 136 | D'Entrecasteaux National Park                                                |           | 
 132 | Creery Wetland Nature Reserve                                                |        25 | Wanneroo
 210 | Graphite and Lindsay Forest Blocks                                           |           | 
 211 | Graphite and Lindsay State Forest                                            |           | 
 212 | Greater Beedelup                                                             |           | 
 133 | Creery Wetlands Nature Reserve                                               |        31 | Mandurah
 214 | Greater Hawke                                                                |           | 
 137 | Dales Campground                                                             |         6 | Karijini Visitor Centre
 217 | Greenbushes Loop                                                             |           | 
 218 | Greenbushes Loop Trail                                                       |           | 
 219 | Greenmount                                                                   |           | 
 220 | Greens Pool                                                                  |           | 
 139 | Dalmanyi (Bell Gorge)                                                        |        19 | Kununurra
 222 | Grimwade                                                                     |           | 
 140 | Danggu Geikie Gorge                                                          |        35 | Geikie Gorge
 142 | DBCA Broome Office                                                           |         4 | Broome
 159 | Dulundi Silent Grove                                                         |        19 | Kununurra
 226 | Guillotines                                                                  |           | 
 160 | Dundas Nature Reserve                                                        |        14 | Esperance
 231 | Harewood Forest                                                              |           | 
 161 | Dwellingup                                                                   |        20 | Mundaring
 233 | Harewood State Forest                                                        |           | 
 170 | Eighty Mile Beach                                                            |         4 | Broome
 172 | False Entrance Campground                                                    |        24 | Denham
 174 | Ferndale and Lewana Plantation                                               |         5 | Busselton
 176 | Fitzgerald River                                                             |         3 | Albany
 239 | Helena                                                                       |           | 
 178 | Forest Grove                                                                 |         5 | Busselton
 208 | Gooseberry Hill                                                              |        20 | Mundaring
 244 | Herdsman Lake                                                                |           | 
 245 | Hester Avenue                                                                |           | 
 247 | Hidden Island - Buccaneer Archipelago                                        |           | 
 249 | Hoffman                                                                      |           | 
 250 | Houtman Abrolhos Islands                                                     |           | 
 251 | Houtman Abrolhos Islands National Park                                       |           | 
 252 | Hunters Beach                                                                |           | 
 253 | Injidup                                                                      |           | 
 255 | Jandakot                                                                     |           | 
 256 | Jane                                                                         |           | 
 257 | Jarrahdale State Forest                                                      |           | 
 262 | John Forrest                                                                 |           | 
 263 | John Rate Lookout Walpole Nornalup                                           |           | 
 265 | Julimar Conservation Park                                                    |           | 
 266 | Jurabi Coastal Park                                                          |           | 
 269 | Kalamunda Mountain Bike Circuit                                              |           | 
 271 | Kalbarri                                                                     |           | 
 273 | Kalgulup Regional Park                                                       |           | 
 274 | Karara Rangeland Park                                                        |           | 
 276 | Karijini                                                                     |           | 
 277 | Karijini Visitor Centre                                                      |           | 
 278 | Karlamilyi                                                                   |           | 
 182 | Frankland Campsite                                                           |        26 | Walpole
 280 | Kennedy Range                                                                |           | 
 190 | Giant Cave                                                                   |         5 | Busselton
 193 | Glen Mervyn Campsite                                                         |        13 | Collie
 194 | Glen Mervyn Dam                                                              |        13 | Collie
 284 | Kimberley Region                                                             |           | 
 285 | King Leopold Ranges                                                          |           | 
 286 | Kings Park                                                                   |           | 
 287 | Kingston National Park and Palgarup State Forest                             |           | 
 199 | Gnangara Off-Road Motorcycle Area                                            |        25 | Wanneroo
 289 | Korung                                                                       |           | 
 291 | Lake Brockman                                                                |           | 
 292 | Lake C Y O'Connor                                                            |           | 
 201 | Gnangara-Moore River State Forest                                            |        25 | Wanneroo
 202 | Goat Farm Mountain Bike Park                                                 |        20 | Mundaring
 296 | Lake Muir                                                                    |           | 
 297 | Lake Muir Nature Reserve                                                     |           | 
 299 | Lake Shaster Nature Reserve                                                  |           | 
 300 | Lake Thetis                                                                  |           | 
 204 | Golden Valley Tree Park                                                      |         5 | Busselton
 302 | Lalang-Gaddam Marine Park                                                    |           | 
 306 | Lane Poole Reserve                                                           |           | 
 307 | Langford Park                                                                |           | 
 310 | Leeuwin-Naturaliste                                                          |           | 
 311 | Len Howard                                                                   |           | 
 205 | Goldfields Woodlands                                                         |        17 | Kalgoorlie
